id,fjmc,fjdm,pcsmc,pcsdm,jwqmc,ewbj
145268309,浦东分局,310115,金杨新村派出所,310115570000,银山责任区金口二居警务区,"MULTIPOLYGON(((121.578684 31.247974,121.579432 31.248407,121.580133 31.249347,121.58075 31.250195,121.585291 31.247012,121.584281 31.24623,121.583305 31.245417,121.582508 31.244953,121.582001 31.244706,121.58167 31.244551,121.580647 31.245987,121.578684 31.247974)))"
145268316,浦东分局,310115,洋泾派出所,310115560000,泾东警务责任区博山警务区,"MULTIPOLYGON(((121.555213 31.244527,121.558155 31.246376,121.557406 31.247008,121.556617 31.24763,121.555766 31.248244,121.555536 31.247874,121.555374 31.247602,121.555295 31.247497,121.55512 31.247219,121.55499 31.246911,121.55476 31.246308,121.554602 31.245758,121.554242 31.245156,121.554744 31.24485,121.554995 31.244698,121.555065 31.24465,121.555213 31.244527)))"
145268318,浦东分局,310115,六灶派出所,310115870000,东片责任区汤店警务区,"MULTIPOLYGON(((121.719354 31.129974,121.710901 31.128283,121.711603 31.127009,121.711788 31.127104,121.712861 31.125018,121.714007 31.125541,121.714188 31.125223,121.715586 31.122403,121.715796 31.121995,121.716877 31.119707,121.716103 31.119576,121.716311 31.119174,121.716518 31.118808,121.717859 31.119106,121.71905 31.116309,121.719788 31.114965,121.721881 31.115615,121.723327 31.116095,121.723555 31.11573,121.724622 31.116035,121.725889 31.116475,121.727113 31.116696,121.733549 31.117779,121.733116 31.1214,121.731409 31.12148,121.730998 31.12146,121.730904 31.123321,121.730679 31.125053,121.730402 31.129382,121.730112 31.133036,121.727972 31.132545,121.723779 31.131296,121.719354 31.129974)))"
145268319,浦东分局,310115,金杨新村派出所,310115570000,银山责任区银山一居警务区,"MULTIPOLYGON(((121.575073 31.245068,121.579133 31.245677,121.579946 31.24564,121.580018 31.245469,121.580686 31.245543,121.580938 31.245572,121.581672 31.244555,121.581165 31.244286,121.581033 31.244444,121.58027 31.244335,121.580372 31.243862,121.57706 31.242218,121.575073 31.245068)))"
145268320,浦东分局,310115,金杨新村派出所,310115570000,香山责任区香山五居警务区,"MULTIPOLYGON(((121.565252 31.238858,121.569117 31.240747,121.571138 31.238163,121.568367 31.236826,121.566489 31.236003,121.565786 31.237809,121.565252 31.238858)))"
145268325,浦东分局,310115,洋泾派出所,310115560000,泾东警务责任区崮二警务区,"MULTIPOLYGON(((121.560895 31.238102,121.56406 31.24035,121.565203 31.238949,121.56574 31.237918,121.566474 31.235998,121.564975 31.235292,121.56298 31.234217,121.561064 31.233284,121.560913 31.233083,121.559548 31.23243,121.559286 31.232752,121.559282 31.232951,121.559265 31.233119,121.559153 31.2338,121.558724 31.234268,121.558439 31.234575,121.55818 31.234852,121.558479 31.235493,121.558504 31.23572,121.558377 31.236222,121.558375 31.236432,121.559405 31.237156,121.557921 31.238345,121.560046 31.239364,121.560238 31.239028,121.560895 31.238102)))"
145268326,浦东分局,310115,周家渡派出所,310115480000,第一警务责任区云莲一警务区,"MULTIPOLYGON(((121.500486 31.182263,121.50117 31.181753,121.501399 31.181509,121.501589 31.181253,121.502496 31.181597,121.503399 31.181893,121.505263 31.182117,121.505342 31.18158,121.505511 31.181009,121.505793 31.179952,121.509931 31.180972,121.509772 31.187275,121.509238 31.18719,121.508441 31.187053,121.50798 31.186815,121.507565 31.186585,121.506653 31.18595,121.506057 31.18592,121.505863 31.186043,121.505071 31.186595,121.504238 31.187217,121.504081 31.187282,121.502654 31.184962,121.501566 31.183505,121.500486 31.182263)))"
145268330,浦东分局,310115,周家渡派出所,310115480000,第三警务责任区齐一警务区,"MULTIPOLYGON(((121.509958 31.183475,121.511209 31.183816,121.512433 31.184149,121.512738 31.183258,121.512625 31.183219,121.512456 31.183166,121.512283 31.183096,121.512157 31.183048,121.512083 31.183007,121.512012 31.182967,121.511925 31.182882,121.511776 31.182707,121.511684 31.182579,121.511615 31.18247,121.511602 31.182417,121.511578 31.182325,121.511536 31.182177,121.511642 31.181877,121.511802 31.181437,121.509924 31.180789,121.509865 31.183493,121.509885 31.183453,121.509958 31.183475)))"
145268332,浦东分局,310115,花木派出所,310115720000,东城牡丹警务责任区第三十五警务区,"MULTIPOLYGON(((121.544047 31.204309,121.546389 31.205217,121.547601 31.205593,121.547907 31.205704,121.548516 31.204726,121.549042 31.203726,121.550163 31.201369,121.549266 31.200897,121.547201 31.199852,121.546367 31.200986,121.546031 31.201448,121.545205 31.202677,121.544047 31.204309)))"
145268336,浦东分局,310115,科教园区治安派出所,310115950000,第一警务责任区黄路居委警务区,"MULTIPOLYGON(((121.782231 31.026882,121.781436 31.027004,121.780461 31.027162,121.777596 31.027626,121.777891 31.028923,121.778039 31.029615,121.778206 31.030359,121.775733 31.030685,121.775894 31.02989,121.775904 31.029487,121.77576 31.029134,121.77569 31.028429,121.775711 31.027814,121.775833 31.027799,121.7758 31.027126,121.7755 31.027021,121.775494 31.026822,121.77546 31.026362,121.775403 31.026342,121.775339 31.026238,121.775263 31.026,121.775247 31.02576,121.775553 31.025705,121.775538 31.025539,121.775464 31.025049,121.775373 31.024579,121.775508 31.024544,121.775524 31.024477,121.775434 31.024075,121.77536 31.023665,121.775428 31.023667,121.775764 31.023603,121.776074 31.023572,121.777413 31.023301,121.779032 31.023052,121.779333 31.022937,121.779969 31.022866,121.780019 31.022752,121.780363 31.02269,121.781713 31.02267,121.78164 31.021861,121.781868 31.021991,121.782336 31.021988,121.783118 31.021766,121.783333 31.024621,121.782127 31.024755,121.782231 31.026882)))"
145268338,浦东分局,310115,周家渡派出所,310115480000,第二警务责任区上南十村1警务区,"MULTIPOLYGON(((121.502695 31.172007,121.50306 31.170676,121.503302 31.170468,121.503428 31.170373,121.503483 31.170278,121.503647 31.169691,121.505771 31.170069,121.505135 31.172227,121.502695 31.172007)))"
145268347,浦东分局,310115,花木派出所,310115720000,由由培花警务责任区第三十警务区,"MULTIPOLYGON(((121.565888 31.198342,121.566219 31.196696,121.566521 31.195195,121.56667 31.1944,121.56719 31.194474,121.56805 31.194592,121.567948 31.195256,121.569289 31.195822,121.570453 31.196335,121.571151 31.19664,121.570742 31.199087,121.565888 31.198342)))"
145268388,浦东分局,310115,北蔡派出所,310115460000,第二警务责任区香花地区警务区,"MULTIPOLYGON(((121.548162 31.187932,121.548464 31.186876,121.54936 31.186079,121.551107 31.18607,121.551568 31.186314,121.551975 31.186513,121.553976 31.18637,121.554483 31.186628,121.554703 31.186883,121.554891 31.187098,121.555609 31.187303,121.556266 31.18749,121.556474 31.187754,121.55658 31.187887,121.556681 31.188019,121.556984 31.18811,121.557288 31.188201,121.557528 31.188243,121.558151 31.188433,121.558808 31.188764,121.559184 31.188794,121.559368 31.188742,121.559428 31.189186,121.552974 31.188535,121.548162 31.187932)))"
145268392,浦东分局,310115,花木派出所,310115720000,由由培花警务责任区第二十三警务区,"MULTIPOLYGON(((121.529868 31.195762,121.531009 31.196121,121.533104 31.192011,121.53359 31.191026,121.534084 31.190004,121.535046 31.187894,121.5352 31.187592,121.533847 31.187603,121.533324 31.188733,121.53283 31.189845,121.530904 31.193627,121.530384 31.194692,121.529868 31.195762)))"
145268398,浦东分局,310115,花木派出所,310115720000,由由培花警务责任区第三警务区,"MULTIPOLYGON(((121.556656 31.195464,121.55762 31.195699,121.558552 31.195866,121.561458 31.196125,121.562859 31.196319,121.562649 31.197832,121.558231 31.197068,121.556366 31.196804,121.556656 31.195464)))"
145268408,浦东分局,310115,沪东新村派出所,310115580000,第三警务责任区寿二警务区,"MULTIPOLYGON(((121.582356 31.274773,121.582517 31.274713,121.582677 31.27466,121.582959 31.274583,121.583164 31.274523,121.583933 31.273688,121.584339 31.273289,121.584733 31.272907,121.584945 31.273079,121.585177 31.27326,121.585661 31.273611,121.58616 31.273976,121.586397 31.274144,121.58659 31.274287,121.586485 31.274405,121.586361 31.274525,121.585903 31.275,121.585523 31.275388,121.584969 31.275979,121.584618 31.27635,121.584201 31.276772,121.584025 31.276932,121.583912 31.277009,121.583666 31.277175,121.583547 31.277252,121.583421 31.277333,121.583387 31.277209,121.583357 31.277087,121.583293 31.276881,121.58324 31.276711,121.583191 31.27653,121.583144 31.276386,121.583107 31.276248,121.58302 31.276011,121.582928 31.275736,121.58287 31.275574,121.582836 31.27549,121.582791 31.275389,121.582711 31.275245,121.582609 31.275089,121.582479 31.274922,121.582356 31.274773)))"
145268423,浦东分局,310115,六里派出所,310115510000,第二警务责任区北片第十一警务区,"MULTIPOLYGON(((121.537743 31.183576,121.537098 31.185524,121.536684 31.187547,121.540222 31.187564,121.540998 31.184372,121.537743 31.183576)))"
145268432,浦东分局,310115,川沙派出所,310115410000,第二警务责任区万馨警务区,"MULTIPOLYGON(((121.670325 31.193156,121.67043 31.191372,121.670063 31.191253,121.671051 31.189028,121.672868 31.188973,121.674347 31.188924,121.675347 31.18928,121.676207 31.189571,121.677067 31.189973,121.679627 31.191149,121.676932 31.195679,121.670325 31.193156)))"
145268442,浦东分局,310115,花木派出所,310115720000,联洋钦洋警务责任区第十三警务区,"MULTIPOLYGON(((121.572123 31.234904,121.576114 31.236429,121.580105 31.237902,121.581097 31.236184,121.581996 31.234394,121.57781 31.233097,121.573386 31.231721,121.572123 31.234904)))"
145268443,浦东分局,310115,金杨新村派出所,310115570000,金杨责任区金杨六居警务区,"MULTIPOLYGON(((121.583055 31.253333,121.58293 31.253407,121.582364 31.253786,121.582137 31.254023,121.581887 31.254358,121.581775 31.254553,121.581508 31.255023,121.582006 31.255224,121.582497 31.255261,121.582795 31.256017,121.583602 31.255789,121.584356 31.255562,121.585102 31.25515,121.584268 31.254384,121.583055 31.253333)))"
145268446,浦东分局,310115,沪东新村派出所,310115580000,第一警务责任区金桥警务区,"MULTIPOLYGON(((121.580586 31.260897,121.581221 31.260291,121.581644 31.259872,121.582536 31.258996,121.583105 31.258461,121.583389 31.258771,121.58411 31.259588,121.584895 31.260474,121.584146 31.260565,121.583427 31.260653,121.58282 31.26071,121.581461 31.26079,121.581013 31.260837,121.580586 31.260897)))"
